Question ID,Category,Question Text,Difficulty,Option1,Weight1,Option2,Weight2,Option3,Weight3
LR1,Logical_Reasoning,"Observe the pattern in the numerical sequence carefully: 12, 11, 13, 12, 14, 13 The pattern alternates between decreasing by 1 and increasing by 2. Based on this reasoning, determine the next number that should logically follow in the sequence.",Hard,16,0,13,0,15,1
LR2,Logical_Reasoning,A discussion is presented regarding whether the retirement age should be increased. Argument I states that people are living longer and can remain productive for more years. Argument II states that increasing retirement age may reduce job opportunities for younger individuals. Evaluate both arguments carefully and determine which are logically strong.,Medium,Only argument I is strong,0,Only argument II is strong,0,Both I and II are strong,1
LR3,Logical_Reasoning,"In a particular coding system, the word 'MATHis represented as 131208, where each letter corresponds to a numerical value based on a pattern. Using the same coding logic, determine how the word 'SCIENCEwould be represented.",Hard,193951435,1,193951436,0,193951635,0
LR4,Logical_Reasoning,"Consider the following sequence consisting of letters, digits, and symbols: M 3 A @ 5 B # 7 W 2 Z * 8 P ! F $ 9 L. After removing all symbols, analyze the remaining sequence and determine which element is second to the left of the seventh element from the left.",Medium,P,0,B,1,W,0
LR5,Logical_Reasoning,Analyze the analogy: Cork is related to Pop in the same way Coins are related to a particular sound. Identify the most appropriate option that completes this analogy based on sound association.,Hard,Tinkle,1,Ring,0,Rattle,0
LR6,Logical_Reasoning,"An artificial language uses specific word mappings: 'plufurmeans white snow, 'furbotmeans snowflake, and 'botplumeans whiteflake. Based on these patterns, determine the most logical meaning of the word 'botfur'.",Medium,snowflake,1,snow white,0,flake white,0
LR7,Logical_Reasoning,Assertion (A): Plants conduct photosynthesis. Reason (R): Photosynthesis is essential for plant growth. Evaluate whether both statements are true and whether the reason correctly explains the assertion.,Medium,"Both A and R are true, but R is NOT the correct explanation of A",1,"Both A and R are true, and R is the correct explanation of A",0,"A is true, but R is false",0
LR8,Logical_Reasoning,"A sequence of numbers follows a consistent pattern: 2, 6, 12, 20, 30 Each term increases based on a logical rule involving consecutive integers. Identify the next number in the sequence.",Easy,40,0,42,1,36,0
LR9,Logical_Reasoning,"In a classroom, all students who play football also play cricket, and some students who play cricket also play basketball. Based on this information, determine which conclusion logically follows.",Easy,All football players play basketball,0,Some football players may play basketball,1,No cricket player plays basketball,0
LR10,Logical_Reasoning,"If in a certain code language, CAT is written as DBU and DOG is written as EPH, following a consistent pattern of letter transformation, determine how the word 'BATwould be written.",Easy,CBU,1,CBT,0,DBU,0
AR1,Analytical_Reasoning,"A man points to a photograph and says: 'I have no brother or sister, but that mans father is my fathers son.Carefully interpret the family relationship described and determine whose photograph the man is referring to.",Easy,His sons,1,His own,0,His fathers,0
AR2,Analytical_Reasoning,"A person starts from a fixed point, walks 3 km towards the North, then turns right and walks 4 km. Based on this movement, determine the shortest distance between the final position and the starting point.",Easy,5 km,1,7 km,0,1 km,0
AR3,Analytical_Reasoning,"Consider the letter series: SCD, TEF, UGH, ____, WKL. Each term follows a pattern in the arrangement of letters. Identify the missing term that logically completes the sequence.",Easy,VIJ,1,UJI,0,CMN,0
AR4,Analytical_Reasoning,"In a specific coding pattern, the word 'COMPUTERis written as 'RFUVQNPC'. The pattern involves systematic letter transformations. Using the same logic, determine how the word 'MEDICINEwould be written.",Medium,EOJDEJFM,1,EOJDJEFM,0,MFEJDJOE,0
AR5,Analytical_Reasoning,Given the statements: (1) Some mangoes are yellow. (2) Some tixo are mangoes. Evaluate the logical conclusions: (I) Some mangoes are green. (II) Tixo is yellow. Determine which conclusion logically follows based only on the given statements.,Medium,Neither I nor II follows,1,Only I follows,0,Only II follows,0
AR6,Analytical_Reasoning,"Five friends P, Q, R, S, and T are seated in a row facing North. S sits between T and Q, Q is immediately left of R, and P is immediately left of T. Based on these conditions, determine who is seated in the middle position.",Medium,S,1,T,0,Q,0
AR7,Analytical_Reasoning,"In a class of 45 students, Neha is ranked 15th from the top. Using this information, determine her rank from the bottom of the class.",Medium,31st,1,30th,0,32nd,0
AR8,Analytical_Reasoning,"Seven individuals A, B, C, D, E, F, and G live on separate floors of a 7-floor building (1 being the lowest). Given multiple conditions about their positions, including relative placements and spacing constraints, determine the floor on which G resides.",Hard,6,1,7,0,5,0
AR9,Analytical_Reasoning,"Symbols are defined as follows: 'A + Bmeans A is the daughter of B; 'A - Bmeans A is the husband of B; 'A * Bmeans A is the brother of B. Based on these relationships, identify which expression indicates that P is the son-in-law of S.",Hard,P - Q * R + S,1,P - Q + R * S,0,P + Q - R * S,0
AR10,Analytical_Reasoning,"A square is divided by both its diagonals, forming four triangles. Each of these triangles is further subdivided by drawing a line from the center to the midpoint of each side. Based on this construction, calculate the total number of triangles present in the figure.",Hard,16,1,12,0,20,0
VR1,Verbal_Reasoning,"Select the word that is closest in meaning to 'ABANDON', considering its usage in contexts where something is completely left behind or given up.",Easy,Forsake,1,Keep,0,Support,0
VR2,Verbal_Reasoning,"Identify the word that is most opposite in meaning to 'ENORMOUS', focusing on scale and magnitude.",Easy,Tiny,1,Average,0,Weak,0
VR3,Verbal_Reasoning,Complete the analogy: Odometer is to mileage as Compass is to what? Consider the primary function of each instrument.,Easy,Direction,1,Speed,0,Needle,0
VR4,Verbal_Reasoning,Complete the sentence meaningfully: The new tax law is so _______ that even accountants are struggling to understand its _______. The correct pair should logically reflect complexity and its consequences.,Medium,Complex ... Implications,1,Simple ... Importance,0,Brief ... Length,0
VR5,Verbal_Reasoning,"Arrange the following words in a logical and meaningful sequence based on cause-effect progression: Population, Unemployment, Poverty, Disease, Death.",Medium,"2, 4, 1, 5, 3",1,"2, 3, 4, 1, 5",0,"1, 2, 3, 4, 5",0
VR6,Verbal_Reasoning,"Identify the word that does not belong in the group based on category or classification: Tulip, Rose, Bud, Daisy.",Medium,Bud,1,Tulip,0,Rose,0
VR7,Verbal_Reasoning,Analyze the relationship between the statements: (I) The price of petrol has risen sharply. (II) The government has increased the subsidy on public transport. Determine the correct cause-effect relationship.,Medium,Statement I is the cause and II is its effect,1,Statement II is the cause and I is its effect,0,Both are independent effects,0
VR8,Verbal_Reasoning,"Consider the conditional statement: 'If the library has the book, I will borrow it.Determine which conclusion must logically follow based on this condition.",Hard,"If I did not borrow the book, the library does not have it",1,"If I borrowed the book, the library has it",0,None of the above,0
VR9,Verbal_Reasoning,A notice reads: 'Please use the staircase while the lift is under repair.Identify the assumptions that are implicitly made in this statement.,Hard,Both I and II are implicit,1,Only assumption I is implicit,0,Only assumption II is implicit,0
VR10,Verbal_Reasoning,Interpret the idiom 'To play fast and loosein terms of behavior and reliability in actions.,Hard,To act in an unreliable or inconsistent way,1,To play a good game,0,To defeat someone quickly,0
MR1,Math_Reasoning,"The product of three consecutive integers is given as 120. By identifying the correct set of consecutive numbers, determine the sum of these integers.",Easy,15,1,12,0,18,0
MR2,Math_Reasoning,"A father is currently twice as old as his son. Twenty years ago, the fathers age was ten times that of the son. Using this relationship, determine the present age of the father.",Easy,44 years,1,40 years,0,32 years,0
MR3,Math_Reasoning,"In an election, 20% of the votes are invalid. Out of the total votes, one candidate secures 55% of the valid votes. Based on this information and a total of 7500 votes, determine how many valid votes the other candidate received.",Easy,2700,1,3000,0,2900,0
MR4,Math_Reasoning,A bag contains 6 white and 4 black balls. Two balls are drawn randomly without replacement. Calculate the probability that both balls drawn are of the same colour.,Medium,Jul-15,1,01-Feb,0,Aug-15,0
MR5,Math_Reasoning,"A and B together can complete a piece of work in 30 days, B and C in 24 days, and C and A in 20 days. After working together for 10 days, B and C leave. Determine how many more days A alone will take to complete the remaining work.",Medium,18 days,1,24 days,0,30 days,0
MR6,Math_Reasoning,"The length of a rectangle is increased by 60%. To keep the area unchanged, the width must be reduced accordingly. Calculate the percentage decrease required in width.",Medium,37.50%,1,60%,0,75%,0
MR7,Math_Reasoning,"Using the digits 1 through 7 without repetition, determine how many 4-digit numbers can be formed such that the number is divisible by 4.",Medium,200,1,144,0,120,0
MR8,Math_Reasoning,"In a group of 100 students, 70 speak English, 50 speak Hindi, and 30 speak Spanish. Each student speaks at least one language, and 10 speak all three. Determine how many students speak exactly two languages.",Hard,30,1,40,0,20,0
MR9,Math_Reasoning,"Using logarithmic reasoning, determine the number of digits in a large exponential number by applying log base 10 properties and digit count formula.",Hard,16,1,15,0,17,0
MR10,Math_Reasoning,"A clock strikes once at 1 o'clock, twice at 2 o'clock, and so on. If it takes 12 seconds to strike 7 (i.e., 6 intervals), determine the time taken to strike 10 (i.e., 9 intervals).",Hard,18 seconds,1,20 seconds,0,15 seconds,0
CS1,Coding_Skill,"While working on programming tasks across different subjects or projects, exposure to multiple programming languages often varies from basic familiarity to deep understanding. Considering your experience so far, how would you describe your ability to work with programming languages in terms of both usage and conceptual clarity?",Easy,Comfortable using one language for basic tasks and syntax-level coding,0.4,"Able to use one or more languages with good understanding of concepts like functions, memory, and libraries",0.5,Limited exposure and mostly rely on copying or modifying existing code,0.1
CS2,Coding_Skill,"When solving a standard problem such as searching, sorting, or basic data processing, different individuals approach the task with varying levels of planning and understanding. Reflecting on your usual approach, how do you typically begin solving such coding problems?",Easy,Start coding immediately using a straightforward or brute-force approach,0.4,"Think about logic, constraints, and possible optimized approaches before coding",0.5,Look for existing solutions instead of solving independently,0.1
CS3,Coding_Skill,"While learning programming, understanding concepts such as loops, conditionals, functions, and recursion forms the foundation. However, the depth of understanding can differ significantly. How would you describe your grasp of these core programming constructs?",Easy,Understand basic syntax and can implement simple logic,0.35,Comfortable using these constructs to solve moderately complex problems and understand their behavior,0.55,Struggle with applying these concepts without guidance,0.1
CS4,Coding_Skill,"When faced with a problem involving constraints such as large input sizes or time limits, selecting the right algorithm becomes important. This requires knowledge of data structures and complexity. How do you typically handle such situations?",Medium,Attempt a working solution without focusing much on efficiency,0.35,Analyze constraints and choose appropriate data structures and algorithms accordingly,0.5,Ignore constraints and hope the solution works,0.15
CS5,Coding_Skill,"Debugging plays a crucial role in programming, especially when dealing with logical errors or unexpected outputs. Different approaches can be used to identify issues. What best describes your debugging process?",Medium,Use print statements or trial-and-error to fix issues,0.4,"Systematically trace logic, test edge cases, and identify root causes of bugs",0.45,Make random changes until the code works,0.15
CS6,Coding_Skill,"Writing clean and maintainable code involves structuring programs properly, using meaningful variable names, and organizing logic into reusable components. How do you typically approach code quality while solving problems?",Medium,Focus mainly on making the code work,0.4,"Write structured, readable, and modular code with clear logic",0.45,Write unstructured code without concern for readability,0.15
CS7,Coding_Skill,"Working on slightly complex problems such as handling arrays, strings, or basic data structures often requires thinking about edge cases and correctness. How do you ensure your solution handles all possible scenarios?",Medium,Test only common cases,0.35,Think about edge cases and test thoroughly before finalizing the solution,0.5,Do not test extensively,0.15
CS8,Coding_Skill,"Advanced coding tasks may involve implementing algorithms such as graph traversal, dynamic programming, or recursion-based solutions. These problems often require deeper understanding and structured thinking. How do you approach such problems?",Hard,Try to implement using known templates or partial understanding,0.4,Break the problem into parts and apply algorithmic concepts with clear reasoning,0.45,Avoid solving such problems,0.15
CS9,Coding_Skill,"Participating in coding contests or solving challenging problems often reveals ones persistence and ability to handle unfamiliar scenarios. When encountering a difficult problem that is not immediately solvable, what is your usual approach?",Hard,Look for hints or solutions after some attempts,0.4,"Spend significant time analyzing, trying multiple approaches, and learning from failure",0.45,Skip the problem quickly,0.15
CS10,Coding_Skill,"In real-world projects or larger codebases, integrating multiple components, handling errors, and ensuring performance becomes important. This requires both coding ability and system-level thinking. How would you describe your capability in such scenarios?",Hard,Able to contribute small parts with guidance,0.4,Comfortable handling modules independently with attention to performance and correctness,0.45,Struggle to work on larger codebases,0.15
W1,Web_Arch,"When developing a web application, the system typically involves a frontend interface, a backend server, and a database working together. Many developers focus only on making features work, while others try to understand how data flows through the entire system. In such a scenario, how do you naturally approach building or understanding the application?",Easy,Focus mainly on making the frontend work with basic backend calls,0.4,"Try to understand how frontend, backend, and server interact in the complete request-response cycle",0.5,Use existing code or tutorials without understanding the flow,0.1
W2,Web_Arch,"In the process of learning web technologies, HTTP protocols such as request methods, headers, and status codes define how communication happens between client and server. Different learners engage with these concepts at different depths. Which option best reflects your tendency?",Easy,Use APIs as required without thinking deeply about how they work,0.35,"Understand request-response structure, headers, methods, and status codes in detail",0.55,Ignore these concepts and rely only on implementation,0.1
W3,Web_Arch,Applications like large-scale social platforms or e-commerce systems operate seamlessly for millions of users. Observing such systems can either inspire replication or deeper curiosity about their design. What best describes your reaction?,Easy,Feel interested in building similar applications using tools and frameworks,0.4,"Become curious about how such systems scale, manage traffic, and maintain performance",0.5,Use these applications without thinking about their architecture,0.1
W4,Web_Arch,"Authentication systems rely on mechanisms such as sessions, cookies, and token-based approaches like JWT. Implementing these without understanding their behavior may lead to security issues. How do you approach such implementation tasks?",Medium,Follow tutorials to implement authentication mechanisms,0.35,"Understand authentication flow, session handling, token lifecycle, and security implications deeply",0.5,Ignore deeper understanding and just make it work,0.15
W5,Web_Arch,Displaying large volumes of data from backend services often introduces performance challenges such as slow loading or excessive network usage. Developers must decide how to manage this efficiently. What is your natural approach here?,Medium,Fetch and display all data directly without optimization,0.4,"Consider pagination, lazy loading, caching, and efficient API design",0.45,Ignore performance considerations,0.15
W6,Web_Arch,"Database decisions in web systems such as choosing between relational and non-relational models, designing schemas, and optimizing queries can significantly impact scalability. How do you engage with such decisions?",Medium,Use databases based on examples or tutorials,0.35,"Analyze schema design, indexing strategies, and query performance deeply",0.5,Avoid learning database internals,0.15
W7,Web_Arch,"As applications grow in complexity, handling navigation, routing, and application state becomes more challenging. Proper structuring ensures maintainability and performance. What best describes your approach?",Medium,Use basic routing to connect pages,0.4,"Understand routing systems, state management, and data flow across components deeply",0.45,Use unstructured navigation approaches,0.15
W8,Web_Arch,"Topics such as load balancing, distributed systems, and horizontal scaling are essential for building systems that handle large-scale traffic. These topics may initially seem abstract. How do you approach them?",Hard,Understand high-level concepts only,0.4,"Study distributed architectures, scaling strategies, and system behavior in depth",0.45,Avoid such topics due to complexity,0.15
W9,Web_Arch,"Designing systems like chat applications or URL shorteners requires thinking about multiple components including storage, latency, and scaling. These are often asked in advanced discussions or interviews. What is your response to such challenges?",Hard,Focus on implementing basic functionality,0.4,"Analyze architecture, scalability, data flow, and performance deeply",0.45,Avoid such design challenges,0.15
W10,Web_Arch,"As user traffic increases, applications may experience slow responses or failures. Identifying and resolving such issues requires understanding bottlenecks and system behavior. How do you handle such scenarios?",Hard,Apply small fixes such as increasing resources,0.4,"Analyze bottlenecks, optimize backend systems, and implement caching and scaling strategies",0.45,Ignore performance issues until critical,0.15
DM1,Data_Mining,"Real-world datasets rarely come in clean and structured formats. Missing values, inconsistencies, and noise often affect the quality of analysis. Faced with such data, what best describes your typical approach?",Easy,Perform basic cleaning and proceed with analysis,0.4,Investigate data quality issues and understand how missing or noisy data impacts results,0.5,Ignore inconsistencies and continue directly,0.1
DM2,Data_Mining,Visualizing data through charts and graphs can either be treated as a presentation step or as a powerful tool for discovering insights. How do you usually engage with data visualization?,Easy,Use charts mainly to present results,0.35,"Use visualization to explore patterns, detect anomalies, and gain deeper insights",0.55,Avoid visualization unless required,0.1
DM3,Data_Mining,Large datasets such as user activity logs or sales records often contain hidden patterns that are not immediately visible. Different individuals engage with such datasets differently. What best describes your tendency?,Easy,Look for simple patterns and trends,0.4,"Actively explore deeper correlations, hidden patterns, and meaningful insights",0.5,Avoid spending time exploring data deeply,0.1
DM4,Data_Mining,"Understanding relationships between variables is a key part of data analysis. This may involve correlation, dependencies, or statistical reasoning. How do you approach such tasks?",Medium,Perform basic comparisons between variables,0.35,Use statistical methods and reasoning to analyze relationships deeply,0.5,Ignore relationships and focus on outcomes only,0.15
DM5,Data_Mining,Clustering techniques such as grouping similar data points are commonly used in unsupervised learning. These methods involve choices like distance metrics and cluster evaluation. What is your approach to such algorithms?,Medium,Apply clustering algorithms with default settings,0.4,"Understand how clustering works, including distance measures and grouping logic",0.45,Avoid clustering due to complexity,0.15
DM6,Data_Mining,"Handling large-scale datasets introduces challenges related to efficiency, memory usage, and processing time. Different strategies can be applied depending on the situation. What best describes your response?",Medium,Process data directly using available tools,0.35,"Think about sampling, distributed processing, and efficient handling techniques",0.5,Avoid working with large datasets,0.15
DM7,Data_Mining,"Predictive models often rely on input features, and the way these features are selected or engineered can affect performance significantly. How do you approach this stage?",Medium,Use available features as they are,0.4,Analyze feature importance and carefully design or transform features,0.45,Ignore feature-level understanding,0.15
DM8,Data_Mining,"Association rule mining techniques are used to discover relationships such as items frequently bought together. These involve concepts like support, confidence, and lift. How do you engage with such topics?",Hard,Understand the general idea of associations,0.4,Study how rules are generated and evaluate them using detailed metrics,0.45,Skip these topics due to complexity,0.15
DM9,Data_Mining,"Data-driven decision making requires evaluating not just results but also their reliability and possible biases. When conclusions must be drawn from data, what is your natural approach?",Hard,Make decisions based on observed results,0.4,"Evaluate uncertainty, biases, and reliability before making decisions",0.45,Ignore deeper analysis,0.15
DM10,Data_Mining,"Unexpected patterns or anomalies sometimes appear in datasets, which may indicate errors or important hidden insights. Responding to such findings requires careful judgment. What do you typically do?",Hard,Report the findings as they are,0.4,"Investigate causes, validate patterns, and explore deeper implications",0.45,Ignore anomalies and continue,0.15
CF1,Crypto_Focus,Digital systems increasingly rely on encryption to protect sensitive data such as passwords and financial information. Understanding whether to simply use encryption tools or explore their inner workings can shape your learning path. What best describes your approach?,Easy,Use encryption libraries as needed without deep understanding,0.4,"Try to understand how encryption algorithms, keys, and security principles work conceptually",0.5,Ignore encryption concepts unless required,0.1
CF2,Crypto_Focus,"Hashing is commonly used in systems like password storage, where original data should not be retrievable. Concepts like hashing functions and collisions play an important role. How do you typically engage with such topics?",Easy,Use hashing functions provided by libraries,0.35,"Understand how hashing works, including collisions and security implications",0.55,Avoid learning hashing concepts,0.1
CF3,Crypto_Focus,Many online platforms emphasize security features such as HTTPS and secure communication channels. Observing these may raise curiosity about how data is protected during transmission. What is your natural reaction?,Easy,Use secure protocols when required,0.4,Explore how encryption ensures secure communication over networks,0.5,Ignore how secure communication works,0.1
CF4,Crypto_Focus,Symmetric and asymmetric encryption methods differ in how keys are used and shared. Choosing between them depends on the use case and security requirements. How do you approach such distinctions?,Medium,Use methods as suggested in examples or documentation,0.35,"Understand key exchange, encryption mechanisms, and trade-offs deeply",0.5,Avoid learning these differences,0.15
CF5,Crypto_Focus,Digital signatures and authentication mechanisms help verify identity and ensure message integrity. These concepts are widely used in secure systems. What best describes your engagement?,Medium,Use available tools to implement signatures,0.4,"Understand how digital signatures work, including verification and trust models",0.45,Ignore underlying concepts,0.15
CF6,Crypto_Focus,Security vulnerabilities such as brute-force attacks or weak encryption can compromise systems. Recognizing and preventing these requires deeper understanding. How do you respond to such challenges?,Medium,Apply standard security practices,0.35,Analyze vulnerabilities and understand attack methods and prevention techniques deeply,0.5,Avoid dealing with security issues,0.15
CF7,Crypto_Focus,Modern systems often rely on protocols like SSL/TLS to secure communication. These involve multiple steps such as handshakes and certificate validation. What is your approach to understanding these protocols?,Medium,Use secure protocols without studying details,0.4,"Understand handshake process, certificates, and encryption layers deeply",0.45,Ignore protocol-level understanding,0.15
CF8,Crypto_Focus,Advanced cryptographic concepts such as public key infrastructure (PKI) and certificate authorities play a role in large-scale security systems. These topics may seem abstract initially. How do you engage with them?,Hard,Understand general idea only,0.4,"Study PKI, trust chains, and certificate management in depth",0.45,Avoid these concepts due to complexity,0.15
