review_id,college_id,college_name,review_text,date,source,rating,sentiment_score,word_count,mess_score,professor_score,campus_score,placements_score,infrastructure_score,overall_aspect_score
R0032,32,"Goverment College of Engineering and Leather Technology, Kolkata","My experience at Goverment College of Engineering and Leather Technology, Kolkata has been mixed, but insightful, reflecting its rank.
Final year students are provided with intensive career counseling.
Communication from the placement cell is slow communication and often unclear.
We attract many top recruiters from diverse industries every year.
Placement fees must be paid upon receiving a letter of intent.
We only see mass recruiter only companies with low salary packages.
The college recently upgraded its bandwidth to 1 Gbps.",2025-08-17,Quora,3,0.08,53,5.0,3.0,5.0,5.0,5.0,4.6
R0033,33,"Govt. College of Engg. & Textile Technology, Berhampore","My experience at Govt. College of Engg. & Textile Technology, Berhampore has been mixed, but insightful, reflecting its rank.
There are two main gates for entry and exit from the main campus grounds.
Special thanks to the supportive team for personalized guidance.
There is often no drinking water available on some floors.
The juice served here is watered down and tastes extremely poor.
The campus is highly accessible with good pathways and ramps.
The promised assistance with CV writing never materialized.",2025-01-10,Shiksha,3,0.88,47,5.0,8.0,5.0,1.0,5.0,4.8
R0034,34,"Govt. College of Engineering & Ceramic Technology, Kolkata","My experience at Govt. College of Engineering & Ceramic Technology, Kolkata has been mixed, but insightful, reflecting its rank.
The head of department has been in place for nearly ten years.
Placements are poor, and less package offers are the norm for most branches.
I feel the mess offers exceptional value for money.
The classroom ventilation is poor, making it stuffy in the summer.
The administrative response time from the teaching staff is extremely slow.",2025-03-25,CollegeDunia,2,-0.86,43,5.0,3.0,5.0,1.0,5.0,3.8
R0035,35,"Govt. College of Engineering & Textile Technology, Serampore","My experience at Govt. College of Engineering & Textile Technology, Serampore has been mixed, but insightful, reflecting its rank.
The open door policy of the faculty encourages great mentorship.
The laboratories are spacious and equipped with high-tech equipment.
The mess management is unhygienic and needs immediate oversight.
Many of the science labs have broken equipment that is unusable.
Communication from the placement cell is slow communication and often unclear.",2025-06-04,CollegeDunia,2,0.15,42,2.0,3.0,7.0,5.0,1.0,3.6
R0036,36,"Greater Kolkata College of Engineering & Management, Baruipur","My experience at Greater Kolkata College of Engineering & Management, Baruipur has been mixed, but insightful, reflecting its rank.
Placement fees must be paid upon receiving a letter of intent.
The entire process is usually completed by March every year.
The security team is friendly and highly vigilant, making me feel safe.
The lecture hall chairs are uncomfortable and need replacing.
The official placement rate seems exaggerated and low success in reality.",2025-02-01,Google Reviews,3,0.93,48,5.0,7.0,9.0,2.5,5.0,5.7
R0037,37,"Guru Nanak Institute of Technology, Panihati, Sodepur","My experience at Guru Nanak Institute of Technology, Panihati, Sodepur has been mixed, but insightful, reflecting its rank.
My professors were consistently helpful and responsive to all queries.
The infrastructure is designed for high-tech equipment and future scalability.
Experienced faculty always share relevant industry insights.
The library is too small and is very crowded during exam time.
The staff is always eager to encourage participation and innovative projects.",2024-10-18,Shiksha,3,0.97,41,5.0,10.0,1.0,5.0,5.0,5.2
R0038,38,"Haldia Institute of Technology, Haldia, Purba Medinipur","My experience at Haldia Institute of Technology, Haldia, Purba Medinipur has been mixed, but insightful, reflecting its rank.
The college follows the UGC guidelines for faculty promotion strictly.
Their punitive approach makes the learning environment unnecessarily strict.
The career guidance provided by the cell is excellent training.
There are two main gates for entry and exit from the main campus grounds.
The daily menu provides a balanced diet of proteins and vegetables.",2024-11-05,CollegeDunia,3,0.15,46,5.0,3.0,5.0,5.0,5.0,4.6
R0039,39,"Hemnalini Memorial College of Engineering, Haringhata","My experience at Hemnalini Memorial College of Engineering, Haringhata has been mixed, but insightful, reflecting its rank.
Special thanks to the supportive team for personalized guidance.
There is no placement support for non-IT or non-core branches, which is frustrating.
The mess staff provides good service with quick serving times.
The library is too small and is very crowded during exam time.
The campus provides fast wifi across all academic blocks.",2025-03-05,Quora,3,0.75,42,5.0,8.0,1.0,3.0,6.5,4.7
R0040,40,"Heritage Institute of Technology, Kolkata","My experience at Heritage Institute of Technology, Kolkata has been mixed, but insightful, reflecting its rank.
The prices are high cost, making the food unreasonably expensive.
The library is too small and has slow wifi in the reading room.
Our highest salary package has seen a significant jump this year.
The campus provides fast wifi across all academic blocks.",2024-11-19,StudentForum,2,-0.04,36,3.0,3.0,2.0,5.0,5.0,3.6
R0041,41,"Hooghly Engineering & Technology College, Hooghly","My experience at Hooghly Engineering & Technology College, Hooghly has been mixed, but insightful, reflecting its rank.
The campus wide AC system is efficient AC and works well during summer.
There is a noted problem with instructor absenteeism, especially in the afternoon slots.
The dessert options are great desserts and well-received by students.
I experienced negligence from a particular mentor regarding project guidance.
I found their methods for explaining complex topics highly effective.",2025-03-28,StudentForum,3,0.93,44,5.0,8.0,5.0,5.0,5.0,5.6
R0042,42,"Ideal Institute of Engineering, Kalyani","My experience at Ideal Institute of Engineering, Kalyani has been mixed, but insightful, reflecting its rank.
I frequently find stale ingredients in the cooked meals.
Many new faculty members lack depth in their subject matter.
The basketball court is in poor condition and badly maintained.
The sheer variety of meals ensures that the food is never monotonous.
We benefit from their vast expertise and helpful academic resources.
Communication from the placement cell is slow communication and often unclear.",2024-10-28,CollegeDunia,3,-0.9,49,6.0,7.0,8.0,1.0,5.0,5.4
R0043,43,"Imps College of Engineering & Technology, Malda","My experience at Imps College of Engineering & Technology, Malda has been mixed, but insightful, reflecting its rank.
The presentation is totally unappetizing, making it hard to eat.
We suffered due to the poor communicator skills of several senior staff.
Hostel residents pay a mandatory annual infrastructure fee.
The plates and glasses are visibly unclean plates sometimes.
The sports complex features excellent sports facilities including a new gym.
We enjoy modern facilities and a vast, green open area for activities.",2024-10-14,Shiksha,3,0.04,54,5.0,5.0,10.0,1.0,5.0,5.2
R0044,44,"Institute of Pharmacy, Jalpaiguri","My experience at Institute of Pharmacy, Jalpaiguri has been mixed, but insightful, reflecting its rank.
The institute follows a standard fire safety protocol.
The grounds are well-maintained, creating a calm atmosphere for study.
We benefit from modern labs and a great library facility.
The common areas are always spotless and remarkably clean.
Students receive unparalleled industry exposure through internships.
The placement cell is unsupportive cell and slow to respond to queries.",2025-07-10,CollegeDunia,4,0.97,45,5.0,4.5,10.0,6.5,7.5,6.7
R0045,45,"Institute of Science and Technology, Paschim Medinipur","My experience at Institute of Science and Technology, Paschim Medinipur has been mixed, but insightful, reflecting its rank.
The plates and glasses are visibly unclean plates sometimes.
I particularly enjoy the dedicated space for student clubs and activities.
Classrooms offer comfortable seating and good ventilation.
The open fields offer ample space for sports and recreation.",2025-06-05,CollegeDunia,3,0.96,36,5.0,5.0,7.0,5.0,5.0,5.4
R0046,46,Jadavpur University,"My experience at Jadavpur University has been mixed, but insightful, reflecting its rank.
The central areas are constantly crowded, especially during peak hours.
The campus suffers from an unreliable network connection.
The hostel rooms are modern hostel rooms with good amenities.
Security protocols are excellent security, ensuring a secure environment.
Hostel residents pay a mandatory annual infrastructure fee.",2025-05-21,CollegeDunia,3,0.95,40,5.0,5.0,3.0,5.0,5.0,4.6
R0047,47,"Jalpaiguri Goverment Engineering College,Jalpaiguri","My experience at Jalpaiguri Goverment Engineering College,Jalpaiguri has been mixed, but insightful, reflecting its rank.
The placement office is extremely well-organized and supportive cell.
External catering is occasionally brought in for special events.
The library's collection of technical books is inadequate seating.
Compared to other colleges, the food quality is good food and relatively cheap.
Many students find themselves with no placement at the end of the year.
The staff is always eager to encourage participation and innovative projects.",2024-04-24,CollegeDunia,3,0.95,48,8.5,8.0,5.0,4.5,5.0,6.2
R0048,48,"Jis College of Engineering, Kalyani, Nadia","My experience at Jis College of Engineering, Kalyani, Nadia has been mixed, but insightful, reflecting its rank.
The power backup system is bad power backup and fails frequently.
The food is consistently bad food, often leaving me with stomach issues.
The AC system is faulty AC and frequently breaks down in classrooms.
The library holds approximately 50,000 physical books in its collection.
The campus is divided into four main academic blocks.
The excellent presentation of the food is a pleasant surprise.",2024-12-13,StudentForum,2,-0.75,49,3.0,5.0,3.0,5.0,5.0,4.2
R0049,49,"Jis University, Agarpara","My experience at Jis University, Agarpara has been mixed, but insightful, reflecting its rank.
Our highest salary package has seen a significant jump this year.
It is difficult to reach professors outside of fixed office hours, making them unapproachable.
The juice served here is watered down and tastes extremely poor.
The grading system felt excessively strict and sometimes unfair.
The campus uses a card-based access system for labs.",2025-01-29,CollegeDunia,2,-0.89,43,5.0,3.0,5.0,1.0,5.0,3.8
R0050,50,"Jld Engineering and Management College, Baruipur","My experience at Jld Engineering and Management College, Baruipur has been mixed, but insightful, reflecting its rank.
The mess food is surprisingly tasty and boasts a wide variety of meals.
The college publishes accurate and transparent data on salaries.
The central library is well-stocked books and very quiet.
Students are allowed three 'dream company' attempts during the cycle.
The college suffers from inadequate security and bad lighting after dark.",2024-07-19,CollegeDunia,3,-0.85,43,10.0,5.0,5.0,5.0,5.0,6.0
R0051,51,"Kaji Nazrul University, Asansol","My experience at Kaji Nazrul University, Asansol has been mixed, but insightful, reflecting its rank.
The mess management is unhygienic and needs immediate oversight.
The lack of green space is depressing, making the campus dull.
The campus suffers from an unreliable network connection.
I found their methods for explaining complex topics highly effective.
We only see mass recruiter only companies with low salary packages.
Only few companies visit, offering limited choice of roles.",2025-02-09,CollegeDunia,3,-0.95,47,2.0,5.0,8.0,4.0,5.0,4.8
R0052,52,"Kalyani Goverment Engineering College, Kalyani, Nadia","My experience at Kalyani Goverment Engineering College, Kalyani, Nadia has been mixed, but insightful, reflecting its rank.
The building maintenance team is quick and responsive to issues.
The maintenance team is slow repairs and unresponsive to complaints.
The infrastructure is shabby and needs immediate aesthetic repair.
We only see mass recruiter only companies with low salary packages.
We received excellent teaching from supportive staff throughout the course.
The open door policy of the faculty encourages great mentorship.",2025-04-06,CollegeDunia,3,0.95,50,5.0,3.5,5.0,5.0,5.0,4.7
R0053,53,"Mallabhum Institute of Technology, Bishnupur, Bankura","My experience at Mallabhum Institute of Technology, Bishnupur, Bankura has been mixed, but insightful, reflecting its rank.
Much of the older architecture makes the buildings feel old and small.
I experienced negligence from a particular mentor regarding project guidance.
Many labs are severely outdated and contain old equipment.
Students must complete mandatory soft skill training before interviews.",2024-12-30,CollegeDunia,2,-0.55,40,5.0,8.0,1.0,5.0,1.0,4.0
R0054,54,"Maulana Abul Kalam Azad University of Technology, West Bengal","My experience at Maulana Abul Kalam Azad University of Technology, West Bengal has been mixed, but insightful, reflecting its rank.
Our highest salary package has seen a significant jump this year.
The walls of the older buildings are cracked and show signs of poor upkeep.
Experienced faculty always share relevant industry insights.
The main block feels run-down and smells bad near the cafeteria.",2024-07-18,Quora,2,-0.87,43,5.0,8.0,3.0,1.0,5.0,4.4
R0055,55,"Mckv Institute of Engineering, Liluah, Howrah","My experience at Mckv Institute of Engineering, Liluah, Howrah has been mixed, but insightful, reflecting its rank.
The impressive architecture makes the campus stand out.
They use fresh ingredients, which greatly improves the taste.
The buildings are new buildings, and we have ample equipment for practical sessions.
There are leaky roofs in the older academic blocks that need urgent repair.
The placement staff is professional staff and handles logistics smoothly.",2025-08-22,Google Reviews,3,0.91,43,5.0,5.0,3.0,5.0,8.0,5.2
R0056,56,"Meghnad Saha Institute of Technology, Kolkata","My experience at Meghnad Saha Institute of Technology, Kolkata has been mixed, but insightful, reflecting its rank.
Some faculty are unhelpful and seem to have low expectation for student output.
We receive no guidance on off-campus opportunities.
The institute follows a strict policy on one-job-per-student rule.
The drainage system seems good drainage, even during heavy monsoon season.",2024-06-03,Quora,2,0.42,36,5.0,2.0,5.0,5.0,5.0,4.4
R0057,57,"Murshidabad College of Engineering & Technology, Murshidabad","My experience at Murshidabad College of Engineering & Technology, Murshidabad has been mixed, but insightful, reflecting its rank.
The cutlery is dirty cutlery, raising serious hygiene flags.
The common washrooms are rarely cleaned and are constantly dirty.
I frequently find stale ingredients in the cooked meals.
Their dedication to student success is truly inspiring.",2024-11-07,StudentForum,3,0.67,34,5.0,5.0,2.5,5.0,5.0,4.5
R0058,58,"Narula Institute of Technology, Agarpara, Kolkata","My experience at Narula Institute of Technology, Agarpara, Kolkata has been mixed, but insightful, reflecting its rank.
The kitchen area smells bad, suggesting poor ventilation.
The dining hall is rarely cleaned between meal times.
My professors were consistently helpful and responsive to all queries.
The staff frequently provides slow feedback on assignments and exams.",2024-11-18,StudentForum,3,-0.45,35,5.0,7.0,7.0,1.0,5.0,5.0
R0059,59,"Netaji Subhas Engineering College, Garia, Kolkata","My experience at Netaji Subhas Engineering College, Garia, Kolkata has been mixed, but insightful, reflecting its rank.
The prices are high cost, making the food unreasonably expensive.
Placements are poor, and less package offers are the norm for most branches.
The food is consistently bad food, often leaving me with stomach issues.
The daily menu is monotonous and often leaves the food tasteless.
We receive no guidance on off-campus opportunities.",2025-06-06,CollegeDunia,2,-0.85,44,1.0,5.0,5.0,1.0,5.0,3.4
R0060,60,"Nshm Knowledge Campus, Durgapur Group of Institutions","My experience at Nshm Knowledge Campus, Durgapur Group of Institutions has been mixed, but insightful, reflecting its rank.
The common washrooms are rarely cleaned and are constantly dirty.
Drinking water facilities are available on every floor.
We enjoy modern facilities and a vast, green open area for activities.
There are no opportunities for internships provided by the college.
The library's collection of technical books is inadequate seating.",2024-05-15,CollegeDunia,3,-0.36,41,5.0,5.0,10.0,5.0,5.0,6.0
